timestamp,temperatura_predicha,minutos_desde_inicio,horas_desde_inicio
2025-10-21 21:28:03,26.598345804690307,1,0.016666666666666666
2025-10-21 21:29:03,25.184568211227237,2,0.03333333333333333
2025-10-21 21:30:03,25.059916098386392,3,0.05
2025-10-21 21:31:03,24.31343412113152,4,0.06666666666666667
2025-10-21 21:32:03,23.976984411956426,5,0.08333333333333333
2025-10-21 21:33:03,23.577990143214173,6,0.1
2025-10-21 21:34:03,23.280177535065896,7,0.11666666666666667
2025-10-21 21:35:03,23.035542916538883,8,0.13333333333333333
2025-10-21 21:36:03,22.837490159776237,9,0.15
2025-10-21 21:37:03,22.698966687544868,10,0.16666666666666666
2025-10-21 21:38:03,22.600451175675634,11,0.18333333333333332
2025-10-21 21:39:03,22.55181080226282,12,0.2
2025-10-21 21:40:03,22.539749189201107,13,0.21666666666666667
2025-10-21 21:41:03,22.566817591541827,14,0.23333333333333334
2025-10-21 21:42:03,22.624200313469597,15,0.25
2025-10-21 21:43:03,22.709922961918277,16,0.26666666666666666
2025-10-21 21:44:03,22.817190225802523,17,0.2833333333333333
2025-10-21 21:45:03,22.941915173025617,18,0.3
2025-10-21 21:46:03,23.078108970861493,19,0.31666666666666665
2025-10-21 21:47:03,23.22096831148195,20,0.3333333333333333
2025-10-21 21:48:03,23.364596345488742,21,0.35
2025-10-21 21:49:03,23.504587447619635,22,0.36666666666666664
2025-10-21 21:50:03,23.634655292601366,23,0.38333333333333336
2025-10-21 21:51:03,23.75090307001106,24,0.4
2025-10-21 21:52:03,23.84482591245333,25,0.4166666666666667
2025-10-21 21:53:03,23.916728835275432,26,0.43333333333333335
2025-10-21 21:54:03,23.972282661928826,27,0.45
2025-10-21 21:55:03,24.011726070342192,28,0.4666666666666667
2025-10-21 21:56:03,24.03648565696027,29,0.48333333333333334
2025-10-21 21:57:03,24.0482649940476,30,0.5
2025-10-21 21:58:03,24.048673276922724,31,0.5166666666666667
2025-10-21 21:59:03,24.039655491342515,32,0.5333333333333333
2025-10-21 22:00:03,24.022982230881,33,0.55
2025-10-21 22:01:03,24.000487007076217,34,0.5666666666666667
2025-10-21 22:02:03,23.973835094301577,35,0.5833333333333334
2025-10-21 22:03:03,23.944586447729876,36,0.6
2025-10-21 22:04:03,23.914122527005585,37,0.6166666666666667
2025-10-21 22:05:03,23.883650399590337,38,0.6333333333333333
2025-10-21 22:06:03,23.854185643490094,39,0.65
2025-10-21 22:07:03,23.826549611691497,40,0.6666666666666666
2025-10-21 22:08:03,23.801383793871036,41,0.6833333333333333
2025-10-21 22:09:03,23.77914571304958,42,0.7
2025-10-21 22:10:03,23.76012739064703,43,0.7166666666666667
2025-10-21 22:11:03,23.744475863209694,44,0.7333333333333333
2025-10-21 22:12:03,23.73220070521036,45,0.75
2025-10-21 22:13:03,23.723195229666583,46,0.7666666666666667
2025-10-21 22:14:03,23.717261108213567,47,0.7833333333333333
2025-10-21 22:15:03,23.714122732813326,48,0.8
2025-10-21 22:16:03,23.713446364700264,49,0.8166666666666667
2025-10-21 22:17:03,23.71485928332674,50,0.8333333333333334
2025-10-21 22:18:03,23.71798671647237,51,0.85
2025-10-21 22:19:03,23.72245867915317,52,0.8666666666666667
2025-10-21 22:20:03,23.727915444748838,53,0.8833333333333333
2025-10-21 22:21:03,23.734025326166524,54,0.9
2025-10-21 22:22:03,23.740484675840808,55,0.9166666666666666
2025-10-21 22:23:03,23.747024040751924,56,0.9333333333333333
2025-10-21 22:24:03,23.75341636911672,57,0.95
2025-10-21 22:25:03,23.759474958715924,58,0.9666666666666667
2025-10-21 22:26:03,23.765053456894126,59,0.9833333333333333
2025-10-21 22:27:03,23.770045176668884,60,1.0
